SeeingMachines PDB V:102
Time (UTC), 0 RightEyeX, 0 RightEyeY, 0 RightEyeZ, 0 LeftEyeX, 0 LeftEyeY, 0 LeftEyeZ, 0 RightPupilX, 0 RightPupilY, 0 RightPupilZ, 0 LeftPupilX, 0 LeftPupilY, 0 LeftPupilZ, 0 VergenceX, 0 VergenceY, 0 VergenceZ, 0 HeadX, 0 HeadY, 0 HeadZ, 0 HeadRotationX, 0 HeadRotationY, 0 HeadRotationZ, 1 RightEyeX, 1 RightEyeY, 1 RightEyeZ, 1 LeftEyeX, 1 LeftEyeY, 1 LeftEyeZ, 1 RightPupilX, 1 RightPupilY, 1 RightPupilZ, 1 LeftPupilX, 1 LeftPupilY, 1 LeftPupilZ, 1 VergenceX, 1 VergenceY, 1 VergenceZ, 1 HeadX, 1 HeadY, 1 HeadZ, 1 HeadRotationX, 1 HeadRotationY, 1 HeadRotationZ, 2 RightEyeX, 2 RightEyeY, 2 RightEyeZ, 2 LeftEyeX, 2 LeftEyeY, 2 LeftEyeZ, 2 RightPupilX, 2 RightPupilY, 2 RightPupilZ, 2 LeftPupilX, 2 LeftPupilY, 2 LeftPupilZ, 2 VergenceX, 2 VergenceY, 2 VergenceZ, 2 HeadX, 2 HeadY, 2 HeadZ, 2 HeadRotationX, 2 HeadRotationY, 2 HeadRotationZ, 3 RightEyeX, 3 RightEyeY, 3 RightEyeZ, 3 LeftEyeX, 3 LeftEyeY, 3 LeftEyeZ, 3 RightPupilX, 3 RightPupilY, 3 RightPupilZ, 3 LeftPupilX, 3 LeftPupilY, 3 LeftPupilZ, 3 VergenceX, 3 VergenceY, 3 VergenceZ, 3 HeadX, 3 HeadY, 3 HeadZ, 3 HeadRotationX, 3 HeadRotationY, 3 HeadRotationZ, StandardDeviation Absolute, StandardDeviationX, StandardDeviationY, StandardDeviationZ, StandardDeviation Sample Size, 
2013-03-22T16:22:08.731Z, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0, 0, 0, 0.4, 0.79, -0.13, 0.4, 0.79, -0.13, 0.4, 0.79, -0.13, 0.4, 0.79, -0.13, 0.4, 0.79, -0.13, 0.4, 0.79, -0.13, 0, 1.570796, 0, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, 0, 3.141593, 0, -0.4, 0.79, 0.13, -0.4, 0.79, 0.13, -0.4, 0.79, 0.13, -0.4, 0.79, 0.13, -0.4, 0.79, 0.13, -0.4, 0.79, 0.13, 0, 4.712389, 0, 0, 0, 0, 0, 0, 
2013-03-22T16:22:08.748Z, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0, 0, 0, 0.4, 0.79, -0.13, 0.4, 0.79, -0.13, 0.4, 0.79, -0.13, 0.4, 0.79, -0.13, 0.4, 0.79, -0.13, 0.4, 0.79, -0.13, 0, 1.570796, 0, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, 0, 3.141593, 0, -0.4, 0.79, 0.13, -0.4, 0.79, 0.13, -0.4, 0.79, 0.13, -0.4, 0.79, 0.13, -0.4, 0.79, 0.13, -0.4, 0.79, 0.13, 0, 4.712389, 0, 0, 0, 0, 0, 0, 
2013-03-22T16:22:08.765Z, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0, 0, 0, 0.4, 0.79, -0.13, 0.4, 0.79, -0.13, 0.4, 0.79, -0.13, 0.4, 0.79, -0.13, 0.4, 0.79, -0.13, 0.4, 0.79, -0.13, 0, 1.570796, 0, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, 0, 3.141593, 0, -0.4, 0.79, 0.13, -0.4, 0.79, 0.13, -0.4, 0.79, 0.13, -0.4, 0.79, 0.13, -0.4, 0.79, 0.13, -0.4, 0.79, 0.13, 0, 4.712389, 0, 0, 0, 0, 0, 0, 
2013-03-22T16:22:08.781Z, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0, 0, 0, 0.4, 0.79, -0.13, 0.4, 0.79, -0.13, 0.4, 0.79, -0.13, 0.4, 0.79, -0.13, 0.4, 0.79, -0.13, 0.4, 0.79, -0.13, 0, 1.570796, 0, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, 0, 3.141593, 0, -0.4, 0.79, 0.13, -0.4, 0.79, 0.13, -0.4, 0.79, 0.13, -0.4, 0.79, 0.13, -0.4, 0.79, 0.13, -0.4, 0.79, 0.13, 0, 4.712389, 0, 0, 0, 0, 0, 0, 
2013-03-22T16:22:08.798Z, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0, 0, 0, 0.4, 0.79, -0.13, 0.4, 0.79, -0.13, 0.4, 0.79, -0.13, 0.4, 0.79, -0.13, 0.4, 0.79, -0.13, 0.4, 0.79, -0.13, 0, 1.570796, 0, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, 0, 3.141593, 0, -0.4, 0.79, 0.13, -0.4, 0.79, 0.13, -0.4, 0.79, 0.13, -0.4, 0.79, 0.13, -0.4, 0.79, 0.13, -0.4, 0.79, 0.13, 0, 4.712389, 0, 0, 0, 0, 0, 0, 
2013-03-22T16:22:08.815Z, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0, 0, 0, 0.4, 0.79, -0.13, 0.4, 0.79, -0.13, 0.4, 0.79, -0.13, 0.4, 0.79, -0.13, 0.4, 0.79, -0.13, 0.4, 0.79, -0.13, 0, 1.570796, 0, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, 0, 3.141593, 0, -0.4, 0.79, 0.13, -0.4, 0.79, 0.13, -0.4, 0.79, 0.13, -0.4, 0.79, 0.13, -0.4, 0.79, 0.13, -0.4, 0.79, 0.13, 0, 4.712389, 0, 0, 0, 0, 0, 0, 
2013-03-22T16:22:08.831Z, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0, 0, 0, 0.4, 0.79, -0.13, 0.4, 0.79, -0.13, 0.4, 0.79, -0.13, 0.4, 0.79, -0.13, 0.4, 0.79, -0.13, 0.4, 0.79, -0.13, 0, 1.570796, 0, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, 0, 3.141593, 0, -0.4, 0.79, 0.13, -0.4, 0.79, 0.13, -0.4, 0.79, 0.13, -0.4, 0.79, 0.13, -0.4, 0.79, 0.13, -0.4, 0.79, 0.13, 0, 4.712389, 0, 0, 0, 0, 0, 0, 
2013-03-22T16:22:08.848Z, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0, 0, 0, 0.4, 0.79, -0.13, 0.4, 0.79, -0.13, 0.4, 0.79, -0.13, 0.4, 0.79, -0.13, 0.4, 0.79, -0.13, 0.4, 0.79, -0.13, 0, 1.570796, 0, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, 0, 3.141593, 0, -0.4, 0.79, 0.13, -0.4, 0.79, 0.13, -0.4, 0.79, 0.13, -0.4, 0.79, 0.13, -0.4, 0.79, 0.13, -0.4, 0.79, 0.13, 0, 4.712389, 0, 0, 0, 0, 0, 0, 
2013-03-22T16:22:08.865Z, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0, 0, 0, 0.4, 0.79, -0.13, 0.4, 0.79, -0.13, 0.4, 0.79, -0.13, 0.4, 0.79, -0.13, 0.4, 0.79, -0.13, 0.4, 0.79, -0.13, 0, 1.570796, 0, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, 0, 3.141593, 0, -0.4, 0.79, 0.13, -0.4, 0.79, 0.13, -0.4, 0.79, 0.13, -0.4, 0.79, 0.13, -0.4, 0.79, 0.13, -0.4, 0.79, 0.13, 0, 4.712389, 0, 0, 0, 0, 0, 0, 
2013-03-22T16:22:08.881Z, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0, 0, 0, 0.4, 0.79, -0.13, 0.4, 0.79, -0.13, 0.4, 0.79, -0.13, 0.4, 0.79, -0.13, 0.4, 0.79, -0.13, 0.4, 0.79, -0.13, 0, 1.570796, 0, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, 0, 3.141593, 0, -0.4, 0.79, 0.13, -0.4, 0.79, 0.13, -0.4, 0.79, 0.13, -0.4, 0.79, 0.13, -0.4, 0.79, 0.13, -0.4, 0.79, 0.13, 0, 4.712389, 0, 0, 0, 0, 0, 0, 
2013-03-22T16:22:08.898Z, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0, 0, 0, 0.4, 0.79, -0.13, 0.4, 0.79, -0.13, 0.4, 0.79, -0.13, 0.4, 0.79, -0.13, 0.4, 0.79, -0.13, 0.4, 0.79, -0.13, 0, 1.570796, 0, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, 0, 3.141593, 0, -0.4, 0.79, 0.13, -0.4, 0.79, 0.13, -0.4, 0.79, 0.13, -0.4, 0.79, 0.13, -0.4, 0.79, 0.13, -0.4, 0.79, 0.13, 0, 4.712389, 0, 0, 0, 0, 0, 0, 
2013-03-22T16:22:08.915Z, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0, 0, 0, 0.4, 0.79, -0.13, 0.4, 0.79, -0.13, 0.4, 0.79, -0.13, 0.4, 0.79, -0.13, 0.4, 0.79, -0.13, 0.4, 0.79, -0.13, 0, 1.570796, 0, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, 0, 3.141593, 0, -0.4, 0.79, 0.13, -0.4, 0.79, 0.13, -0.4, 0.79, 0.13, -0.4, 0.79, 0.13, -0.4, 0.79, 0.13, -0.4, 0.79, 0.13, 0, 4.712389, 0, 0, 0, 0, 0, 0, 
2013-03-22T16:22:08.931Z, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0, 0, 0, 0.4, 0.79, -0.13, 0.4, 0.79, -0.13, 0.4, 0.79, -0.13, 0.4, 0.79, -0.13, 0.4, 0.79, -0.13, 0.4, 0.79, -0.13, 0, 1.570796, 0, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, 0, 3.141593, 0, -0.4, 0.79, 0.13, -0.4, 0.79, 0.13, -0.4, 0.79, 0.13, -0.4, 0.79, 0.13, -0.4, 0.79, 0.13, -0.4, 0.79, 0.13, 0, 4.712389, 0, 0, 0, 0, 0, 0, 
2013-03-22T16:22:08.948Z, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0, 0, 0, 0.4, 0.79, -0.13, 0.4, 0.79, -0.13, 0.4, 0.79, -0.13, 0.4, 0.79, -0.13, 0.4, 0.79, -0.13, 0.4, 0.79, -0.13, 0, 1.570796, 0, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, 0, 3.141593, 0, -0.4, 0.79, 0.13, -0.4, 0.79, 0.13, -0.4, 0.79, 0.13, -0.4, 0.79, 0.13, -0.4, 0.79, 0.13, -0.4, 0.79, 0.13, 0, 4.712389, 0, 0, 0, 0, 0, 0, 
2013-03-22T16:22:08.965Z, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0, 0, 0, 0.4, 0.79, -0.13, 0.4, 0.79, -0.13, 0.4, 0.79, -0.13, 0.4, 0.79, -0.13, 0.4, 0.79, -0.13, 0.4, 0.79, -0.13, 0, 1.570796, 0, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, 0, 3.141593, 0, -0.4, 0.79, 0.13, -0.4, 0.79, 0.13, -0.4, 0.79, 0.13, -0.4, 0.79, 0.13, -0.4, 0.79, 0.13, -0.4, 0.79, 0.13, 0, 4.712389, 0, 0, 0, 0, 0, 0, 
2013-03-22T16:22:08.981Z, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0, 0, 0, 0.4, 0.79, -0.13, 0.4, 0.79, -0.13, 0.4, 0.79, -0.13, 0.4, 0.79, -0.13, 0.4, 0.79, -0.13, 0.4, 0.79, -0.13, 0, 1.570796, 0, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, 0, 3.141593, 0, -0.4, 0.79, 0.13, -0.4, 0.79, 0.13, -0.4, 0.79, 0.13, -0.4, 0.79, 0.13, -0.4, 0.79, 0.13, -0.4, 0.79, 0.13, 0, 4.712389, 0, 0, 0, 0, 0, 0, 
2013-03-22T16:22:08.998Z, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0, 0, 0, 0.4, 0.79, -0.13, 0.4, 0.79, -0.13, 0.4, 0.79, -0.13, 0.4, 0.79, -0.13, 0.4, 0.79, -0.13, 0.4, 0.79, -0.13, 0, 1.570796, 0, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, 0, 3.141593, 0, -0.4, 0.79, 0.13, -0.4, 0.79, 0.13, -0.4, 0.79, 0.13, -0.4, 0.79, 0.13, -0.4, 0.79, 0.13, -0.4, 0.79, 0.13, 0, 4.712389, 0, 0, 0, 0, 0, 0, 
2013-03-22T16:22:09.015Z, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0, 0, 0, 0.4, 0.79, -0.13, 0.4, 0.79, -0.13, 0.4, 0.79, -0.13, 0.4, 0.79, -0.13, 0.4, 0.79, -0.13, 0.4, 0.79, -0.13, 0, 1.570796, 0, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, 0, 3.141593, 0, -0.4, 0.79, 0.13, -0.4, 0.79, 0.13, -0.4, 0.79, 0.13, -0.4, 0.79, 0.13, -0.4, 0.79, 0.13, -0.4, 0.79, 0.13, 0, 4.712389, 0, 0, 0, 0, 0, 0, 
2013-03-22T16:22:09.031Z, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0, 0, 0, 0.4, 0.79, -0.13, 0.4, 0.79, -0.13, 0.4, 0.79, -0.13, 0.4, 0.79, -0.13, 0.4, 0.79, -0.13, 0.4, 0.79, -0.13, 0, 1.570796, 0, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, 0, 3.141593, 0, -0.4, 0.79, 0.13, -0.4, 0.79, 0.13, -0.4, 0.79, 0.13, -0.4, 0.79, 0.13, -0.4, 0.79, 0.13, -0.4, 0.79, 0.13, 0, 4.712389, 0, 0, 0, 0, 0, 0, 
2013-03-22T16:22:09.048Z, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0, 0, 0, 0.4, 0.79, -0.13, 0.4, 0.79, -0.13, 0.4, 0.79, -0.13, 0.4, 0.79, -0.13, 0.4, 0.79, -0.13, 0.4, 0.79, -0.13, 0, 1.570796, 0, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, 0, 3.141593, 0, -0.4, 0.79, 0.13, -0.4, 0.79, 0.13, -0.4, 0.79, 0.13, -0.4, 0.79, 0.13, -0.4, 0.79, 0.13, -0.4, 0.79, 0.13, 0, 4.712389, 0, 0, 0, 0, 0, 0, 
2013-03-22T16:22:09.065Z, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0, 0, 0, 0.4, 0.79, -0.13, 0.4, 0.79, -0.13, 0.4, 0.79, -0.13, 0.4, 0.79, -0.13, 0.4, 0.79, -0.13, 0.4, 0.79, -0.13, 0, 1.570796, 0, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, 0, 3.141593, 0, -0.4, 0.79, 0.13, -0.4, 0.79, 0.13, -0.4, 0.79, 0.13, -0.4, 0.79, 0.13, -0.4, 0.79, 0.13, -0.4, 0.79, 0.13, 0, 4.712389, 0, 0, 0, 0, 0, 0, 
2013-03-22T16:22:09.081Z, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0, 0, 0, 0.4, 0.79, -0.13, 0.4, 0.79, -0.13, 0.4, 0.79, -0.13, 0.4, 0.79, -0.13, 0.4, 0.79, -0.13, 0.4, 0.79, -0.13, 0, 1.570796, 0, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, 0, 3.141593, 0, -0.4, 0.79, 0.13, -0.4, 0.79, 0.13, -0.4, 0.79, 0.13, -0.4, 0.79, 0.13, -0.4, 0.79, 0.13, -0.4, 0.79, 0.13, 0, 4.712389, 0, 0, 0, 0, 0, 0, 
2013-03-22T16:22:09.098Z, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0, 0, 0, 0.4, 0.79, -0.13, 0.4, 0.79, -0.13, 0.4, 0.79, -0.13, 0.4, 0.79, -0.13, 0.4, 0.79, -0.13, 0.4, 0.79, -0.13, 0, 1.570796, 0, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, 0, 3.141593, 0, -0.4, 0.79, 0.13, -0.4, 0.79, 0.13, -0.4, 0.79, 0.13, -0.4, 0.79, 0.13, -0.4, 0.79, 0.13, -0.4, 0.79, 0.13, 0, 4.712389, 0, 0, 0, 0, 0, 0, 
2013-03-22T16:22:09.115Z, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0, 0, 0, 0.4, 0.79, -0.13, 0.4, 0.79, -0.13, 0.4, 0.79, -0.13, 0.4, 0.79, -0.13, 0.4, 0.79, -0.13, 0.4, 0.79, -0.13, 0, 1.570796, 0, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, 0, 3.141593, 0, -0.4, 0.79, 0.13, -0.4, 0.79, 0.13, -0.4, 0.79, 0.13, -0.4, 0.79, 0.13, -0.4, 0.79, 0.13, -0.4, 0.79, 0.13, 0, 4.712389, 0, 0, 0, 0, 0, 0, 
2013-03-22T16:22:09.131Z, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0, 0, 0, 0.4, 0.79, -0.13, 0.4, 0.79, -0.13, 0.4, 0.79, -0.13, 0.4, 0.79, -0.13, 0.4, 0.79, -0.13, 0.4, 0.79, -0.13, 0, 1.570796, 0, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, 0, 3.141593, 0, -0.4, 0.79, 0.13, -0.4, 0.79, 0.13, -0.4, 0.79, 0.13, -0.4, 0.79, 0.13, -0.4, 0.79, 0.13, -0.4, 0.79, 0.13, 0, 4.712389, 0, 0, 0, 0, 0, 0, 
2013-03-22T16:22:09.148Z, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0, 0, 0, 0.4, 0.79, -0.13, 0.4, 0.79, -0.13, 0.4, 0.79, -0.13, 0.4, 0.79, -0.13, 0.4, 0.79, -0.13, 0.4, 0.79, -0.13, 0, 1.570796, 0, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, 0, 3.141593, 0, -0.4, 0.79, 0.13, -0.4, 0.79, 0.13, -0.4, 0.79, 0.13, -0.4, 0.79, 0.13, -0.4, 0.79, 0.13, -0.4, 0.79, 0.13, 0, 4.712389, 0, 0, 0, 0, 0, 0, 
2013-03-22T16:22:09.165Z, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0, 0, 0, 0.4, 0.79, -0.13, 0.4, 0.79, -0.13, 0.4, 0.79, -0.13, 0.4, 0.79, -0.13, 0.4, 0.79, -0.13, 0.4, 0.79, -0.13, 0, 1.570796, 0, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, 0, 3.141593, 0, -0.4, 0.79, 0.13, -0.4, 0.79, 0.13, -0.4, 0.79, 0.13, -0.4, 0.79, 0.13, -0.4, 0.79, 0.13, -0.4, 0.79, 0.13, 0, 4.712389, 0, 0, 0, 0, 0, 0, 
2013-03-22T16:22:09.181Z, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0, 0, 0, 0.4, 0.79, -0.13, 0.4, 0.79, -0.13, 0.4, 0.79, -0.13, 0.4, 0.79, -0.13, 0.4, 0.79, -0.13, 0.4, 0.79, -0.13, 0, 1.570796, 0, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, 0, 3.141593, 0, -0.4, 0.79, 0.13, -0.4, 0.79, 0.13, -0.4, 0.79, 0.13, -0.4, 0.79, 0.13, -0.4, 0.79, 0.13, -0.4, 0.79, 0.13, 0, 4.712389, 0, 0, 0, 0, 0, 0, 
2013-03-22T16:22:09.198Z, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0, 0, 0, 0.4, 0.79, -0.13, 0.4, 0.79, -0.13, 0.4, 0.79, -0.13, 0.4, 0.79, -0.13, 0.4, 0.79, -0.13, 0.4, 0.79, -0.13, 0, 1.570796, 0, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, 0, 3.141593, 0, -0.4, 0.79, 0.13, -0.4, 0.79, 0.13, -0.4, 0.79, 0.13, -0.4, 0.79, 0.13, -0.4, 0.79, 0.13, -0.4, 0.79, 0.13, 0, 4.712389, 0, 0, 0, 0, 0, 0, 
